lat,lon,n_records,svf,n_buildings,street_width_m,hw_ratio,snapped_m,폭등급
35.2145,129.084,1,0.705,33,23.9,0.41,0.0,큰길(12m+)
35.2143,129.0833,1,0.766,33,46.8,0.72,0.0,큰길(12m+)
35.2138,129.0832,1,0.651,28,54.1,0.67,0.0,큰길(12m+)
35.2134,129.0832,1,0.734,34,49.9,0.17,0.0,큰길(12m+)
35.2129,129.0831,1,0.676,45,22.1,0.89,0.0,큰길(12m+)
35.2124,129.0829,1,0.663,70,22.0,0.38,0.0,큰길(12m+)
35.212,129.0829,1,0.726,91,20.8,0.54,0.0,큰길(12m+)
35.2115,129.0828,1,0.771,106,22.3,0.5,0.0,큰길(12m+)
35.2111,129.083,1,0.785,95,12.4,0.45,0.0,큰길(12m+)
35.2111,129.0833,1,0.875,75,33.2,0.08,0.0,큰길(12m+)
35.2104,129.0833,1,0.763,55,38.6,0.11,0.0,큰길(12m+)
35.2102,129.0838,1,0.7,30,50.3,0.53,0.0,큰길(12m+)
35.2101,129.0842,1,0.654,18,64.6,0.97,0.0,큰길(12m+)
35.2103,129.0847,1,0.753,13,72.1,0.56,0.0,큰길(12m+)
35.2105,129.0852,1,0.803,9,90.4,0.06,0.0,큰길(12m+)
35.2107,129.0858,1,0.756,4,,,,개방
35.2108,129.0863,1,0.763,5,,,,개방
35.2109,129.0868,1,0.718,5,,,,개방
35.211,129.087,1,0.761,4,,,,개방
35.2111,129.0873,1,0.812,4,,,,개방
35.211,129.0876,1,0.907,3,,,,개방
